Stretch[-];Stress[MPa]
1.000000000000000;0.000000000000000
1.042660186857600;0.065577307396771
1.120976649297660;0.162546632916218
1.192198240575910;0.245264158911253
1.306365892641350;0.330910881661187
1.442013072235140;0.416598382092164
1.849331444832830;0.591079282993533
2.385552971139730;0.760109567195533
2.964707563964290;0.934916689545244
3.457905063866830;1.118103625349220
3.936860844367630;1.284177527675630
4.344153228426260;1.464353711362620
4.665618462258140;1.624433294575760
4.929739984666760;1.798642344270180
